item_id,item_name,,item_alternate_name,is_approved
187,Hide & Seek Black Bourbon - Vanilla,,,
188,Hide & Seek Fab Vanilla Flavoured Choco Chip Cookies,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu, Nut Cookies",
189,Himalayan Pink Salt Peanut PIP,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu, Nut Cookies",
190,Hing Raj Powder,,,
191,Hing Raj Yellow Powder,,,
192,Hobnobs,,,
193,Honeydew,,,
194,Hyderabadi Biryani Masala,,,
195,Indian Rapini Saag,,,
196,Iodized Salt,,,
197,Jackfruit,,,
198,Jaljira,,,
199,Jiraloo,,,
200,Kabocha Or Kadoo,,,
201,Kabuli Chana,,,
202,Kaju Besan Laddu,,,
203,Kala Chana,,,
204,Kala Channa Masala,,,
205,Kale,,,
206,Karahi Masala,,,
207,Karahi Paneer Masala,,,
208,Karela,,,
209,Karela Mathi,,,
210,Kashmiri Mirch,,,
211,Kashmiri Mukhwas,,,
212,Kashmirilal Chilli Powder,,,
213,Kasuri Methi,,,
214,Kesar Mango,,,
215,Kesari Milk Masala,,,
216,Key Lime (Small),,,
217,Khari Classic Original,,,
218,Khari Jeera,,,
219,Khari Masala,,,
220,Khari Methi,,,
221,Khari Mild Masala,,,
222,Khari Mild Methi,,,
223,Khari Multigrain,,,
224,Khari Original,,,
225,Khari Sweet,,,
226,Khari Whole Jeera,,,
227,Khari Whole Wheat,,,
228,Kheema Masala,,"Milk Rusk, Tea Rusk, Bakery, Toast, Rus, Biscotti,Cake rusk",
229,"Kheer Mix, Roasted Almond",,,
230,Kitchen King,,,
231,Kitchen King Masala,,,
232,Kiwi,,,
233,Kofta Masala,,,
234,Kohlrabi with leaves,,,
235,Kreams Gold Chocolate,,,
236,Kurmura Laddu,,,
237,Kurmura Ladoo,,,
238,Kutilal Chilli Powder,,,
239,Lahori Fish Masala,,,
240,Lemon Yellow,,,
241,Lettuce,,"Cookies, Biscuits, macaroons, Kukk_kal, Butter Cookies, Kukilu, Kukgalu, Bisketlu",
242,Lime,,,
243,Little Heart,,,
244,Lobhiya Safed,,,
245,Long Green Beans,,,
246,Lovely Mukhwas,,,
247,Lychee,,,
248,Maharashtra Bhakarwadi,,,
